,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Tyler Herro,MIA,LAC,G,37.00000,21.11857,6.58761,5.01076,0.87217,0.14588,3.02707,7.93922,18.49633,42.9,2.79406,7.68294,36.4,2.44606,2.89480,84.5,0.77733,5.81028
Bam Adebayo,MIA,LAC,C,36.00000,17.18573,11.75605,3.95210,1.26656,1.01894,2.92167,6.66378,12.09202,55.1,0.10246,0.41730,24.6,3.75572,4.99601,75.2,3.24710,8.50895
Keldon Johnson,SAS,HOU,F,36.00000,22.77956,7.12416,3.18343,1.16304,0.25375,1.49469,8.19550,17.70894,46.3,2.94132,8.11080,36.3,3.44724,4.50301,76.6,1.05607,6.06809
Jimmy Butler,MIA,LAC,F,35.00000,18.11346,7.02639,5.14523,1.66099,0.46897,2.14976,6.27560,13.04687,48.1,0.60963,1.86696,32.7,4.95263,5.82363,85.0,2.16118,4.86522
Paul George,LAC,MIA,G,35.00000,23.58038,6.36635,4.44155,1.76007,0.38857,3.43841,8.31940,19.05978,43.6,2.89756,7.87510,36.8,4.04403,4.79306,84.4,0.51577,5.85058
Jerami Grant,POR,DEN,F,35.00000,18.30410,4.68020,2.36670,1.04363,0.85766,1.53191,6.38205,14.41901,44.3,2.26939,5.79667,39.1,3.27061,4.16214,78.6,1.03173,3.64847
Jalen Green,HOU,SAS,G,35.00000,22.95062,4.68943,3.35001,0.96208,0.28612,2.69686,8.19247,18.10309,45.3,2.98235,7.98634,37.3,3.58334,4.36682,82.1,0.67941,4.01002
Nikola Jokic,DEN,POR,C,35.00000,24.87973,15.15939,7.39861,1.42485,0.89493,3.65306,9.30261,16.25988,57.2,1.45476,4.35099,33.4,4.81975,6.04997,79.7,3.03726,12.12212
Anfernee Simons,POR,DEN,G,35.00000,19.56430,3.55445,3.99256,1.09815,0.22557,1.74978,7.10507,17.02689,41.7,3.46369,9.69633,35.7,1.89047,2.27752,83.0,0.39456,3.15989
Josh Hart,POR,DEN,F,34.00000,11.53495,7.34176,3.77656,1.29489,0.28260,1.92639,4.00241,8.50575,47.1,1.41517,4.26842,33.2,2.11496,2.88078,73.4,1.24629,6.09547
Tre Jones,SAS,HOU,G,34.00000,17.18505,4.84895,8.01040,1.50277,0.21345,1.62690,6.69138,14.21854,47.1,0.79120,2.89247,27.4,3.01109,3.76673,79.9,0.72830,4.12065
Caleb Martin,MIA,LAC,F,34.00000,12.13192,6.55302,1.86716,1.41644,0.61641,1.35263,4.63782,9.82534,47.2,1.44857,3.89564,37.2,1.40772,1.83157,76.9,2.00294,4.55008
Aaron Gordon,DEN,POR,F,33.00000,13.69659,6.93711,2.66313,0.64302,0.60914,1.84640,5.02307,10.16798,49.4,1.38681,4.11436,33.7,2.26363,3.14242,72.0,1.81584,5.12128
Damian Lillard,POR,DEN,G,33.00000,21.26701,3.94720,5.80279,0.71474,0.31435,2.37474,7.06286,16.29204,43.4,3.26519,9.02582,36.2,3.87610,4.58652,84.5,0.49121,3.45600
Jamal Murray,DEN,POR,G,33.00000,18.30102,4.59143,4.99606,1.13769,0.26622,2.18304,6.67126,15.08211,44.2,2.46407,6.78818,36.3,2.49442,2.92529,85.3,0.79800,3.79342
Max Strus,MIA,LAC,F,33.00000,13.55824,4.99323,2.17464,0.67253,0.31074,1.25593,4.76170,11.26670,42.3,3.22387,8.35136,38.6,0.81097,1.02137,79.4,0.72819,4.26504
Jusuf Nurkic,POR,DEN,C,32.00000,13.03481,12.21405,2.89093,1.32969,0.98672,2.57016,5.30164,9.92329,53.4,0.21495,0.82920,25.9,2.21659,3.25955,68.0,3.48993,8.72412
Kevin Porter,HOU,SAS,G,32.00000,17.30279,5.40295,6.18089,1.13273,0.34899,3.02594,6.36515,15.10632,42.1,2.45334,6.79518,36.1,2.11915,3.05883,69.3,0.83093,4.57202
Bruce Brown,DEN,POR,G,31.00000,11.42635,6.34329,2.66848,1.30504,0.74058,1.07167,4.39784,8.93225,49.2,1.02245,2.81340,36.3,1.60822,2.15503,74.6,1.66383,4.67946
Jabari Smith,HOU,SAS,F,31.00000,13.66495,7.90659,2.02998,0.80705,0.71675,1.84288,5.12287,11.07616,46.3,1.42851,4.28287,33.4,1.99069,2.54076,78.3,2.18332,5.72327
Kentavious Caldwell-Pope,DEN,POR,G,30.00000,11.86224,3.68887,1.96564,1.03096,0.28849,1.23972,4.01102,9.63132,41.6,2.23983,6.15628,36.4,1.60038,1.86978,85.6,0.55118,3.13770
Reggie Jackson,LAC,MIA,G,30.00000,12.01795,2.96971,4.29322,0.74970,0.18541,1.90877,4.58315,11.35937,40.3,1.67514,5.13375,32.6,1.17650,1.42601,82.5,0.55707,2.41265
