Jalen Green;4,35.00000,22.95062,4.68943,3.35001,0.96208,0.28612,2.69686,2.98235
Kevin Porter;4,32.00000,17.30279,5.40295,6.18089,1.13273,0.34899,3.02594,2.45334
Alperen Sengun;3,30.00000,15.74335,9.67023,3.36439,0.97962,1.21259,2.63586,0.66391
Jae'Sean Tate;3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Eric Gordon;3,28.00000,12.70215,2.58446,2.83156,0.51648,0.28150,1.72831,2.12333
Garrison Mathews;2,10.00000,4.05471,1.35754,0.49505,0.32264,0.12887,0.27653,0.83187
Kenyon Martin;2,25.00000,10.50974,5.21842,1.73469,0.53640,0.51819,0.89875,0.93615
Bruno Fernando;1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Boban Marjanovic;1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Darious Days;1,
Daishen Nix;1,13.00000,4.37913,2.01118,2.21703,0.68744,0.02330,1.22037,0.42253
Josh Christopher;1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Jabari Smith;1,31.00000,13.66495,7.90659,2.02998,0.80705,0.71675,1.84288,1.42851
Tari Eason;1,21.00000,8.78949,5.05777,0.91093,0.83528,0.59729,1.24734,0.87349
Trevor Hudgins;1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Tyty Washington;1,
Usman Garuba;1,15.00000,3.59210,5.84196,1.18920,0.56967,0.61519,0.43154,0.34977
test;1,
Keldon Johnson;4,36.00000,22.77956,7.12416,3.18343,1.16304,0.25375,1.49469,2.94132
Devin Vassell;4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Jakob Poeltl;4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Jason Richardson;3,
Tre Jones;3,34.00000,17.18505,4.84895,8.01040,1.50277,0.21345,1.62690,0.79120
Doug McDermott;2,20.00000,10.50054,2.41901,1.82839,0.33851,0.14141,0.92025,2.34556
Zach Collins;2,24.00000,11.92674,7.63550,3.57585,0.72590,1.02589,2.22576,0.75326
Isaiah Roby;2,15.00000,7.27059,3.53168,1.41612,0.57639,0.43761,0.69958,0.66013
Romeo Langford;1,23.00000,7.85921,3.73349,1.03526,0.75047,0.42422,0.58390,1.05024
Malaki Branham;1,25.00000,9.81120,4.06207,2.30290,0.63555,0.26401,1.60012,1.07941
Keita Bates-Diop;1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Charles Bassey;1,20.00000,9.47027,8.06559,1.19313,0.67970,1.69688,1.08277,0.05889
Gorgui Dieng;1,6.00000,2.90117,2.21943,0.69234,0.20328,0.20509,0.35938,0.47241
Jeremy Sochan;1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
test;1,
